Source File: C:\Users\Temp\Desktop\MINILOG 2017\Minilog-TD_6190_20170825_1.vld
Source Device: Minilog-TD-6190
Study Description: GP022F
Minilog Initialized: 2017-08-25 13:42:49 (UTC-3)
Study Start Time: 2017-08-25 13:42:49
Study Stop Time: 2017-08-25 14:28:38
Sample Interval: 00:00:01
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C),Depth (m)
2017-08-25,13:53:36,2.49,48.63
2017-08-25,13:53:37,2.34,48.63
2017-08-25,13:53:38,2.34,48.63
2017-08-25,13:53:39,2.34,48.63
2017-08-25,13:53:40,2.34,48.63
2017-08-25,13:53:41,2.19,50.25
2017-08-25,13:53:42,2.19,50.25
2017-08-25,13:53:43,2.19,50.25
2017-08-25,13:53:44,2.19,50.25
2017-08-25,13:53:45,2.19,51.87
2017-08-25,13:53:46,2.19,51.87
2017-08-25,13:53:47,2.19,51.87
2017-08-25,13:53:48,2.04,53.49
2017-08-25,13:53:49,2.04,51.87
2017-08-25,13:53:50,2.04,53.49
2017-08-25,13:53:51,1.89,53.49
2017-08-25,13:53:52,1.89,53.49
2017-08-25,13:53:53,1.89,53.49
2017-08-25,13:53:54,1.89,53.49
2017-08-25,13:53:55,1.73,55.12
2017-08-25,13:53:56,1.73,55.12
2017-08-25,13:53:57,1.73,55.12
2017-08-25,13:53:58,1.73,55.12
2017-08-25,13:53:59,1.73,55.12
2017-08-25,13:54:00,1.73,55.12
2017-08-25,13:54:01,1.58,55.12
2017-08-25,13:54:02,1.73,55.12
2017-08-25,13:54:03,1.73,55.12
2017-08-25,13:54:04,1.58,55.12
2017-08-25,13:54:05,1.58,55.12
2017-08-25,13:54:06,1.58,56.74
2017-08-25,13:54:07,1.58,56.74
2017-08-25,13:54:08,1.58,56.74
2017-08-25,13:54:09,1.58,56.74
2017-08-25,13:54:10,1.58,56.74
2017-08-25,13:54:11,1.58,58.36
2017-08-25,13:54:12,1.58,58.36
2017-08-25,13:54:13,1.58,58.36
2017-08-25,13:54:14,1.58,58.36
2017-08-25,13:54:15,1.58,58.36
2017-08-25,13:54:16,1.58,58.36
2017-08-25,13:54:17,1.43,58.36
2017-08-25,13:54:18,1.58,59.98
2017-08-25,13:54:19,1.43,59.98
2017-08-25,13:54:20,1.43,59.98
2017-08-25,13:54:21,1.43,59.98
2017-08-25,13:54:22,1.43,59.98
2017-08-25,13:54:23,1.43,61.60
2017-08-25,13:54:24,1.43,61.60
2017-08-25,13:54:25,1.28,61.60
2017-08-25,13:54:26,1.28,61.60
2017-08-25,13:54:27,1.43,61.60
2017-08-25,13:54:28,1.43,63.22
2017-08-25,13:54:29,1.28,63.22
2017-08-25,13:54:30,1.28,63.22
2017-08-25,13:54:31,1.28,63.22
2017-08-25,13:54:32,1.28,63.22
2017-08-25,13:54:33,1.28,64.84
2017-08-25,13:54:34,1.28,64.84
2017-08-25,13:54:35,1.28,64.84
2017-08-25,13:54:36,1.12,66.46
2017-08-25,13:54:37,1.28,66.46
2017-08-25,13:54:38,1.12,66.46
2017-08-25,13:54:39,1.12,66.46
2017-08-25,13:54:40,1.12,68.08
2017-08-25,13:54:41,1.12,68.08
2017-08-25,13:54:42,1.12,68.08
2017-08-25,13:54:43,1.12,68.08
2017-08-25,13:54:44,1.12,69.70
2017-08-25,13:54:45,1.12,69.70
2017-08-25,13:54:46,1.12,69.70
2017-08-25,13:54:47,1.12,69.70
2017-08-25,13:54:48,1.12,69.70
2017-08-25,13:54:49,1.12,71.33
2017-08-25,13:54:50,1.12,71.33
2017-08-25,13:54:51,1.12,71.33
2017-08-25,13:54:52,1.12,71.33
2017-08-25,13:54:53,1.12,71.33
2017-08-25,13:54:54,1.12,71.33
2017-08-25,13:54:55,1.12,71.33
2017-08-25,13:54:56,1.12,71.33
2017-08-25,13:54:57,1.12,72.95
2017-08-25,13:54:58,1.12,72.95
2017-08-25,13:54:59,1.12,72.95
2017-08-25,13:55:00,1.12,72.95
2017-08-25,13:55:01,1.12,72.95
2017-08-25,13:55:02,1.12,72.95
2017-08-25,13:55:03,1.12,72.95
2017-08-25,13:55:04,1.12,72.95
2017-08-25,13:55:05,1.12,72.95
2017-08-25,13:55:06,1.12,72.95
2017-08-25,13:55:07,1.12,72.95
2017-08-25,13:55:08,1.12,72.95
2017-08-25,13:55:09,0.97,72.95
2017-08-25,13:55:10,0.97,72.95
2017-08-25,13:55:11,1.12,72.95
2017-08-25,13:55:12,0.97,72.95
2017-08-25,13:55:13,0.97,72.95
2017-08-25,13:55:14,0.97,74.57
2017-08-25,13:55:15,0.97,72.95
2017-08-25,13:55:16,0.97,72.95
2017-08-25,13:55:17,0.97,72.95
2017-08-25,13:55:18,0.97,74.57
2017-08-25,13:55:19,0.97,74.57
2017-08-25,13:55:20,0.97,72.95
2017-08-25,13:55:21,0.97,72.95
2017-08-25,13:55:22,0.97,72.95
2017-08-25,13:55:23,0.97,74.57
2017-08-25,13:55:24,0.97,72.95
2017-08-25,13:55:25,0.97,72.95
2017-08-25,13:55:26,0.97,72.95
2017-08-25,13:55:27,0.97,72.95
2017-08-25,13:55:28,0.97,74.57
2017-08-25,13:55:29,0.97,72.95
2017-08-25,13:55:30,0.97,72.95
2017-08-25,13:55:31,0.97,72.95
2017-08-25,13:55:32,0.97,74.57
2017-08-25,13:55:33,0.97,74.57
2017-08-25,13:55:34,0.97,72.95
2017-08-25,13:55:35,0.97,72.95
2017-08-25,13:55:36,0.97,72.95
2017-08-25,13:55:37,0.97,72.95
2017-08-25,13:55:38,0.97,72.95
2017-08-25,13:55:39,0.97,72.95
2017-08-25,13:55:40,0.97,74.57
2017-08-25,13:55:41,0.97,72.95
2017-08-25,13:55:42,0.97,72.95
2017-08-25,13:55:43,0.97,74.57
2017-08-25,13:55:44,0.97,74.57
2017-08-25,13:55:45,0.97,72.95
2017-08-25,13:55:46,0.97,72.95
2017-08-25,13:55:47,0.97,72.95
2017-08-25,13:55:48,0.97,72.95
2017-08-25,13:55:49,0.97,72.95
2017-08-25,13:55:50,0.97,72.95
2017-08-25,13:55:51,0.97,72.95
2017-08-25,13:55:52,0.97,72.95
2017-08-25,13:55:53,0.82,72.95
2017-08-25,13:55:54,0.82,72.95
2017-08-25,13:55:55,0.97,72.95
2017-08-25,13:55:56,0.82,72.95
2017-08-25,13:55:57,0.97,72.95
2017-08-25,13:55:58,0.82,72.95
2017-08-25,13:55:59,0.82,72.95
2017-08-25,13:56:00,0.82,72.95
2017-08-25,13:56:01,0.82,72.95
2017-08-25,13:56:02,0.82,72.95
2017-08-25,13:56:03,0.82,72.95
2017-08-25,13:56:04,0.82,74.57
2017-08-25,13:56:05,0.82,72.95
2017-08-25,13:56:06,0.82,72.95
2017-08-25,13:56:07,0.82,72.95
2017-08-25,13:56:08,0.82,72.95
2017-08-25,13:56:09,0.82,72.95
2017-08-25,13:56:10,0.82,72.95
2017-08-25,13:56:11,0.82,72.95
2017-08-25,13:56:12,0.82,72.95
2017-08-25,13:56:13,0.82,72.95
2017-08-25,13:56:14,0.82,72.95
2017-08-25,13:56:15,0.82,72.95
2017-08-25,13:56:16,0.82,72.95
2017-08-25,13:56:17,0.82,72.95
2017-08-25,13:56:18,0.82,72.95
2017-08-25,13:56:19,0.82,72.95
2017-08-25,13:56:20,0.82,72.95
2017-08-25,13:56:21,0.82,72.95
2017-08-25,13:56:22,0.82,72.95
2017-08-25,13:56:23,0.82,72.95
2017-08-25,13:56:24,0.82,72.95
2017-08-25,13:56:25,0.82,72.95
2017-08-25,13:56:26,0.82,72.95
2017-08-25,13:56:27,0.82,72.95
2017-08-25,13:56:28,0.82,72.95
2017-08-25,13:56:29,0.82,72.95
2017-08-25,13:56:30,0.82,72.95
2017-08-25,13:56:31,0.82,72.95
2017-08-25,13:56:32,0.82,72.95
2017-08-25,13:56:33,0.82,72.95
2017-08-25,13:56:34,0.82,72.95
2017-08-25,13:56:35,0.82,72.95
2017-08-25,13:56:36,0.82,72.95
2017-08-25,13:56:37,0.82,72.95
2017-08-25,13:56:38,0.82,72.95
2017-08-25,13:56:39,0.82,72.95
2017-08-25,13:56:40,0.82,72.95
2017-08-25,13:56:41,0.82,72.95
2017-08-25,13:56:42,0.82,72.95
2017-08-25,13:56:43,0.67,72.95
2017-08-25,13:56:44,0.82,72.95
2017-08-25,13:56:45,0.82,72.95
2017-08-25,13:56:46,0.82,72.95
2017-08-25,13:56:47,0.82,74.57
2017-08-25,13:56:48,0.82,72.95
2017-08-25,13:56:49,0.82,72.95
2017-08-25,13:56:50,0.82,72.95
2017-08-25,13:56:51,0.82,72.95
2017-08-25,13:56:52,0.82,72.95
2017-08-25,13:56:53,0.82,72.95
2017-08-25,13:56:54,0.67,72.95
2017-08-25,13:56:55,0.67,72.95
2017-08-25,13:56:56,0.82,72.95
2017-08-25,13:56:57,0.67,72.95
2017-08-25,13:56:58,0.67,72.95
2017-08-25,13:56:59,0.67,74.57
2017-08-25,13:57:00,0.67,72.95
2017-08-25,13:57:01,0.67,74.57
2017-08-25,13:57:02,0.67,72.95
2017-08-25,13:57:03,0.67,74.57
2017-08-25,13:57:04,0.67,72.95
2017-08-25,13:57:05,0.67,72.95
2017-08-25,13:57:06,0.67,74.57
2017-08-25,13:57:07,0.67,74.57
2017-08-25,13:57:08,0.67,74.57
2017-08-25,13:57:09,0.67,74.57
2017-08-25,13:57:10,0.67,74.57
2017-08-25,13:57:11,0.67,74.57
2017-08-25,13:57:12,0.67,74.57
2017-08-25,13:57:13,0.67,74.57
2017-08-25,13:57:14,0.67,74.57
2017-08-25,13:57:15,0.67,74.57
2017-08-25,13:57:16,0.67,72.95
2017-08-25,13:57:17,0.67,72.95
2017-08-25,13:57:18,0.67,74.57
2017-08-25,13:57:19,0.67,72.95
2017-08-25,13:57:20,0.67,72.95
2017-08-25,13:57:21,0.67,74.57
2017-08-25,13:57:22,0.67,74.57
2017-08-25,13:57:23,0.67,74.57
2017-08-25,13:57:24,0.67,74.57
2017-08-25,13:57:25,0.67,74.57
2017-08-25,13:57:26,0.67,74.57
2017-08-25,13:57:27,0.67,74.57
2017-08-25,13:57:28,0.67,74.57
2017-08-25,13:57:29,0.67,74.57
2017-08-25,13:57:30,0.67,72.95
2017-08-25,13:57:31,0.67,74.57
2017-08-25,13:57:32,0.67,74.57
2017-08-25,13:57:33,0.67,74.57
2017-08-25,13:57:34,0.67,74.57
2017-08-25,13:57:35,0.67,74.57
2017-08-25,13:57:36,0.67,74.57
2017-08-25,13:57:37,0.67,74.57
2017-08-25,13:57:38,0.67,74.57
2017-08-25,13:57:39,0.67,74.57
2017-08-25,13:57:40,0.67,74.57
2017-08-25,13:57:41,0.67,74.57
2017-08-25,13:57:42,0.67,74.57
2017-08-25,13:57:43,0.67,74.57
2017-08-25,13:57:44,0.67,74.57
2017-08-25,13:57:45,0.67,74.57
2017-08-25,13:57:46,0.67,74.57
2017-08-25,13:57:47,0.67,74.57
2017-08-25,13:57:48,0.67,74.57
2017-08-25,13:57:49,0.67,74.57
2017-08-25,13:57:50,0.67,74.57
2017-08-25,13:57:51,0.67,74.57
2017-08-25,13:57:52,0.67,74.57
2017-08-25,13:57:53,0.67,74.57
2017-08-25,13:57:54,0.67,74.57
2017-08-25,13:57:55,0.67,74.57
2017-08-25,13:57:56,0.67,74.57
2017-08-25,13:57:57,0.67,74.57
2017-08-25,13:57:58,0.67,74.57
2017-08-25,13:57:59,0.67,74.57
2017-08-25,13:58:00,0.67,74.57
2017-08-25,13:58:01,0.67,74.57
2017-08-25,13:58:02,0.67,74.57
2017-08-25,13:58:03,0.67,74.57
2017-08-25,13:58:04,0.67,74.57
2017-08-25,13:58:05,0.67,74.57
2017-08-25,13:58:06,0.67,74.57
2017-08-25,13:58:07,0.67,74.57
2017-08-25,13:58:08,0.67,74.57
2017-08-25,13:58:09,0.67,74.57
2017-08-25,13:58:10,0.67,74.57
2017-08-25,13:58:11,0.67,74.57
2017-08-25,13:58:12,0.67,74.57
2017-08-25,13:58:13,0.67,74.57
2017-08-25,13:58:14,0.67,74.57
2017-08-25,13:58:15,0.67,74.57
2017-08-25,13:58:16,0.67,74.57
2017-08-25,13:58:17,0.67,74.57
2017-08-25,13:58:18,0.67,74.57
2017-08-25,13:58:19,0.67,74.57
2017-08-25,13:58:20,0.67,74.57
2017-08-25,13:58:21,0.67,74.57
2017-08-25,13:58:22,0.67,74.57
2017-08-25,13:58:23,0.67,74.57
2017-08-25,13:58:24,0.67,74.57
2017-08-25,13:58:25,0.67,74.57
2017-08-25,13:58:26,0.67,74.57
2017-08-25,13:58:27,0.67,74.57
2017-08-25,13:58:28,0.67,74.57
2017-08-25,13:58:29,0.67,74.57
2017-08-25,13:58:30,0.67,74.57
2017-08-25,13:58:31,0.67,74.57
2017-08-25,13:58:32,0.67,74.57
2017-08-25,13:58:33,0.67,74.57
2017-08-25,13:58:34,0.67,74.57
2017-08-25,13:58:35,0.67,74.57
2017-08-25,13:58:36,0.67,74.57
2017-08-25,13:58:37,0.67,74.57
2017-08-25,13:58:38,0.67,74.57
2017-08-25,13:58:39,0.67,74.57
2017-08-25,13:58:40,0.67,74.57
2017-08-25,13:58:41,0.67,74.57
2017-08-25,13:58:42,0.67,74.57
2017-08-25,13:58:43,0.67,74.57
2017-08-25,13:58:44,0.67,74.57
2017-08-25,13:58:45,0.67,74.57
2017-08-25,13:58:46,0.67,74.57
2017-08-25,13:58:47,0.67,74.57
2017-08-25,13:58:48,0.67,74.57
2017-08-25,13:58:49,0.67,74.57
2017-08-25,13:58:50,0.67,74.57
2017-08-25,13:58:51,0.67,74.57
2017-08-25,13:58:52,0.67,74.57
2017-08-25,13:58:53,0.67,74.57
2017-08-25,13:58:54,0.67,74.57
2017-08-25,13:58:55,0.67,74.57
2017-08-25,13:58:56,0.67,74.57
2017-08-25,13:58:57,0.67,74.57
2017-08-25,13:58:58,0.67,74.57
2017-08-25,13:58:59,0.67,74.57
2017-08-25,13:59:00,0.67,74.57
2017-08-25,13:59:01,0.67,74.57
2017-08-25,13:59:02,0.67,74.57
2017-08-25,13:59:03,0.67,74.57
2017-08-25,13:59:04,0.67,74.57
2017-08-25,13:59:05,0.67,74.57
2017-08-25,13:59:06,0.67,74.57
2017-08-25,13:59:07,0.67,74.57
2017-08-25,13:59:08,0.67,74.57
2017-08-25,13:59:09,0.67,74.57
2017-08-25,13:59:10,0.67,74.57
2017-08-25,13:59:11,0.67,74.57
2017-08-25,13:59:12,0.67,74.57
2017-08-25,13:59:13,0.67,74.57
2017-08-25,13:59:14,0.67,74.57
2017-08-25,13:59:15,0.67,74.57
2017-08-25,13:59:16,0.67,74.57
2017-08-25,13:59:17,0.67,74.57
2017-08-25,13:59:18,0.67,74.57
2017-08-25,13:59:19,0.67,74.57
2017-08-25,13:59:20,0.67,74.57
2017-08-25,13:59:21,0.67,74.57
2017-08-25,13:59:22,0.67,74.57
2017-08-25,13:59:23,0.67,74.57
2017-08-25,13:59:24,0.67,74.57
2017-08-25,13:59:25,0.67,74.57
2017-08-25,13:59:26,0.67,74.57
2017-08-25,13:59:27,0.67,74.57
2017-08-25,13:59:28,0.67,74.57
2017-08-25,13:59:29,0.67,74.57
2017-08-25,13:59:30,0.67,74.57
2017-08-25,13:59:31,0.67,74.57
2017-08-25,13:59:32,0.67,74.57
2017-08-25,13:59:33,0.67,74.57
2017-08-25,13:59:34,0.67,74.57
2017-08-25,13:59:35,0.67,74.57
2017-08-25,13:59:36,0.67,74.57
2017-08-25,13:59:37,0.67,74.57
2017-08-25,13:59:38,0.67,74.57
2017-08-25,13:59:39,0.67,74.57
2017-08-25,13:59:40,0.51,74.57
2017-08-25,13:59:41,0.67,74.57
2017-08-25,13:59:42,0.67,74.57
2017-08-25,13:59:43,0.67,74.57
2017-08-25,13:59:44,0.51,74.57
2017-08-25,13:59:45,0.67,74.57
2017-08-25,13:59:46,0.51,74.57
2017-08-25,13:59:47,0.67,74.57
2017-08-25,13:59:48,0.67,74.57
2017-08-25,13:59:49,0.67,74.57
2017-08-25,13:59:50,0.67,74.57
2017-08-25,13:59:51,0.67,74.57
2017-08-25,13:59:52,0.67,74.57
2017-08-25,13:59:53,0.67,74.57
2017-08-25,13:59:54,0.67,74.57
2017-08-25,13:59:55,0.67,74.57
2017-08-25,13:59:56,0.67,74.57
2017-08-25,13:59:57,0.51,74.57
2017-08-25,13:59:58,0.67,74.57
2017-08-25,13:59:59,0.67,74.57
2017-08-25,14:00:00,0.67,74.57
2017-08-25,14:00:01,0.67,74.57
2017-08-25,14:00:02,0.67,74.57
2017-08-25,14:00:03,0.67,74.57
2017-08-25,14:00:04,0.67,74.57
2017-08-25,14:00:05,0.67,74.57
2017-08-25,14:00:06,0.67,74.57
2017-08-25,14:00:07,0.67,74.57
2017-08-25,14:00:08,0.67,74.57
2017-08-25,14:00:09,0.67,74.57
2017-08-25,14:00:10,0.67,74.57
2017-08-25,14:00:11,0.67,74.57
2017-08-25,14:00:12,0.67,74.57
2017-08-25,14:00:13,0.67,74.57
2017-08-25,14:00:14,0.67,74.57
2017-08-25,14:00:15,0.51,74.57
2017-08-25,14:00:16,0.67,74.57
2017-08-25,14:00:17,0.51,74.57
2017-08-25,14:00:18,0.67,74.57
2017-08-25,14:00:19,0.67,74.57
2017-08-25,14:00:20,0.67,74.57
2017-08-25,14:00:21,0.67,74.57
2017-08-25,14:00:22,0.51,74.57
2017-08-25,14:00:23,0.67,74.57
2017-08-25,14:00:24,0.67,74.57
2017-08-25,14:00:25,0.67,74.57
2017-08-25,14:00:26,0.67,74.57
2017-08-25,14:00:27,0.51,74.57
2017-08-25,14:00:28,0.67,74.57
2017-08-25,14:00:29,0.67,74.57
2017-08-25,14:00:30,0.67,74.57
2017-08-25,14:00:31,0.67,74.57
2017-08-25,14:00:32,0.51,74.57
2017-08-25,14:00:33,0.51,74.57
2017-08-25,14:00:34,0.51,74.57
2017-08-25,14:00:35,0.67,74.57
2017-08-25,14:00:36,0.67,74.57
2017-08-25,14:00:37,0.51,74.57
2017-08-25,14:00:38,0.67,74.57
2017-08-25,14:00:39,0.51,74.57
2017-08-25,14:00:40,0.51,74.57
2017-08-25,14:00:41,0.51,74.57
2017-08-25,14:00:42,0.51,74.57
2017-08-25,14:00:43,0.51,74.57
2017-08-25,14:00:44,0.67,74.57
2017-08-25,14:00:45,0.51,74.57
2017-08-25,14:00:46,0.51,74.57
2017-08-25,14:00:47,0.51,74.57
2017-08-25,14:00:48,0.51,74.57
2017-08-25,14:00:49,0.51,74.57
2017-08-25,14:00:50,0.51,74.57
2017-08-25,14:00:51,0.51,74.57
2017-08-25,14:00:52,0.51,74.57
2017-08-25,14:00:53,0.67,74.57
2017-08-25,14:00:54,0.51,74.57
2017-08-25,14:00:55,0.51,74.57
2017-08-25,14:00:56,0.51,74.57
2017-08-25,14:00:57,0.51,74.57
2017-08-25,14:00:58,0.67,74.57
2017-08-25,14:00:59,0.51,74.57
2017-08-25,14:01:00,0.51,74.57
2017-08-25,14:01:01,0.51,74.57
2017-08-25,14:01:02,0.51,74.57
2017-08-25,14:01:03,0.51,74.57
2017-08-25,14:01:04,0.51,74.57
2017-08-25,14:01:05,0.51,74.57
2017-08-25,14:01:06,0.51,74.57
2017-08-25,14:01:07,0.51,74.57
2017-08-25,14:01:08,0.51,74.57
2017-08-25,14:01:09,0.51,74.57
2017-08-25,14:01:10,0.51,74.57
2017-08-25,14:01:11,0.51,74.57
2017-08-25,14:01:12,0.51,74.57
2017-08-25,14:01:13,0.67,74.57
2017-08-25,14:01:14,0.67,74.57
2017-08-25,14:01:15,0.67,74.57
2017-08-25,14:01:16,0.51,74.57
2017-08-25,14:01:17,0.67,74.57
2017-08-25,14:01:18,0.51,74.57
2017-08-25,14:01:19,0.51,74.57
2017-08-25,14:01:20,0.51,74.57
2017-08-25,14:01:21,0.51,74.57
2017-08-25,14:01:22,0.51,74.57
2017-08-25,14:01:23,0.51,74.57
2017-08-25,14:01:24,0.51,74.57
2017-08-25,14:01:25,0.51,74.57
2017-08-25,14:01:26,0.67,74.57
2017-08-25,14:01:27,0.51,74.57
2017-08-25,14:01:28,0.51,74.57
2017-08-25,14:01:29,0.51,74.57
2017-08-25,14:01:30,0.51,74.57
2017-08-25,14:01:31,0.51,74.57
2017-08-25,14:01:32,0.51,74.57
2017-08-25,14:01:33,0.51,74.57
2017-08-25,14:01:34,0.51,74.57
2017-08-25,14:01:35,0.51,74.57
2017-08-25,14:01:36,0.51,74.57
2017-08-25,14:01:37,0.51,74.57
2017-08-25,14:01:38,0.51,74.57
2017-08-25,14:01:39,0.51,74.57
2017-08-25,14:01:40,0.51,74.57
2017-08-25,14:01:41,0.51,74.57
2017-08-25,14:01:42,0.51,74.57
2017-08-25,14:01:43,0.51,74.57
2017-08-25,14:01:44,0.51,74.57
2017-08-25,14:01:45,0.51,74.57
2017-08-25,14:01:46,0.51,74.57
2017-08-25,14:01:47,0.51,74.57
2017-08-25,14:01:48,0.51,74.57
2017-08-25,14:01:49,0.51,74.57
2017-08-25,14:01:50,0.51,74.57
2017-08-25,14:01:51,0.51,74.57
2017-08-25,14:01:52,0.51,74.57
2017-08-25,14:01:53,0.51,74.57
2017-08-25,14:01:54,0.51,74.57
2017-08-25,14:01:55,0.51,74.57
2017-08-25,14:01:56,0.51,74.57
2017-08-25,14:01:57,0.51,74.57
2017-08-25,14:01:58,0.51,74.57
2017-08-25,14:01:59,0.51,74.57
2017-08-25,14:02:00,0.51,74.57
2017-08-25,14:02:01,0.51,74.57
2017-08-25,14:02:02,0.51,74.57
2017-08-25,14:02:03,0.51,74.57
2017-08-25,14:02:04,0.51,74.57
2017-08-25,14:02:05,0.51,74.57
2017-08-25,14:02:06,0.51,72.95
2017-08-25,14:02:07,0.51,74.57
2017-08-25,14:02:08,0.51,74.57
2017-08-25,14:02:09,0.51,74.57
2017-08-25,14:02:10,0.51,74.57
2017-08-25,14:02:11,0.51,74.57
2017-08-25,14:02:12,0.51,74.57
2017-08-25,14:02:13,0.51,74.57
2017-08-25,14:02:14,0.51,74.57
2017-08-25,14:02:15,0.51,74.57
2017-08-25,14:02:16,0.51,74.57
2017-08-25,14:02:17,0.51,74.57
2017-08-25,14:02:18,0.51,74.57
2017-08-25,14:02:19,0.51,72.95
2017-08-25,14:02:20,0.51,72.95
2017-08-25,14:02:21,0.51,72.95
2017-08-25,14:02:22,0.51,72.95
2017-08-25,14:02:23,0.51,72.95
2017-08-25,14:02:24,0.51,72.95
2017-08-25,14:02:25,0.51,72.95
2017-08-25,14:02:26,0.51,72.95
2017-08-25,14:02:27,0.51,72.95
2017-08-25,14:02:28,0.51,72.95
2017-08-25,14:02:29,0.51,72.95
2017-08-25,14:02:30,0.51,72.95
2017-08-25,14:02:31,0.51,72.95
2017-08-25,14:02:32,0.51,72.95
2017-08-25,14:02:33,0.51,72.95
2017-08-25,14:02:34,0.51,72.95
2017-08-25,14:02:35,0.51,72.95
2017-08-25,14:02:36,0.51,72.95
2017-08-25,14:02:37,0.51,72.95
2017-08-25,14:02:38,0.51,72.95
2017-08-25,14:02:39,0.51,72.95
2017-08-25,14:02:40,0.51,72.95
2017-08-25,14:02:41,0.51,72.95
2017-08-25,14:02:42,0.51,72.95
2017-08-25,14:02:43,0.51,72.95
2017-08-25,14:02:44,0.51,72.95
2017-08-25,14:02:45,0.51,72.95
2017-08-25,14:02:46,0.51,72.95
2017-08-25,14:02:47,0.51,72.95
2017-08-25,14:02:48,0.51,71.33
2017-08-25,14:02:49,0.51,71.33
2017-08-25,14:02:50,0.51,71.33
2017-08-25,14:02:51,0.51,71.33
2017-08-25,14:02:52,0.51,71.33
2017-08-25,14:02:53,0.51,71.33
2017-08-25,14:02:54,0.51,71.33
2017-08-25,14:02:55,0.51,71.33
2017-08-25,14:02:56,0.51,71.33
2017-08-25,14:02:57,0.51,71.33
2017-08-25,14:02:58,0.51,71.33
2017-08-25,14:02:59,0.51,71.33
2017-08-25,14:03:00,0.51,71.33
2017-08-25,14:03:01,0.51,71.33
2017-08-25,14:03:02,0.51,69.70
2017-08-25,14:03:03,0.51,69.70
2017-08-25,14:03:04,0.51,69.70
2017-08-25,14:03:05,0.51,69.70
2017-08-25,14:03:06,0.51,69.70
2017-08-25,14:03:07,0.51,69.70
2017-08-25,14:03:08,0.51,69.70
2017-08-25,14:03:09,0.51,69.70
2017-08-25,14:03:10,0.51,69.70
2017-08-25,14:03:11,0.51,69.70
2017-08-25,14:03:12,0.51,68.08
2017-08-25,14:03:13,0.51,68.08
2017-08-25,14:03:14,0.51,68.08
2017-08-25,14:03:15,0.51,68.08
2017-08-25,14:03:16,0.51,68.08
2017-08-25,14:03:17,0.51,68.08
2017-08-25,14:03:18,0.51,68.08
2017-08-25,14:03:19,0.51,66.46
2017-08-25,14:03:20,0.51,66.46
2017-08-25,14:03:21,0.51,66.46
2017-08-25,14:03:22,0.51,66.46
2017-08-25,14:03:23,0.51,66.46
2017-08-25,14:03:24,0.51,66.46
2017-08-25,14:03:25,0.51,64.84
2017-08-25,14:03:26,0.51,64.84
2017-08-25,14:03:27,0.51,64.84
2017-08-25,14:03:28,0.51,64.84
2017-08-25,14:03:29,0.51,64.84
2017-08-25,14:03:30,0.51,64.84
2017-08-25,14:03:31,0.51,64.84
2017-08-25,14:03:32,0.51,66.46
2017-08-25,14:03:33,0.51,64.84
2017-08-25,14:03:34,0.51,64.84
2017-08-25,14:03:35,0.51,64.84
2017-08-25,14:03:36,0.51,66.46
2017-08-25,14:03:37,0.51,64.84
2017-08-25,14:03:38,0.51,64.84
2017-08-25,14:03:39,0.51,64.84
2017-08-25,14:03:40,0.51,64.84
2017-08-25,14:03:41,0.51,64.84
2017-08-25,14:03:42,0.51,64.84
2017-08-25,14:03:43,0.51,64.84
2017-08-25,14:03:44,0.51,64.84
2017-08-25,14:03:45,0.51,64.84
2017-08-25,14:03:46,0.51,64.84
2017-08-25,14:03:47,0.51,64.84
2017-08-25,14:03:48,0.51,64.84
2017-08-25,14:03:49,0.51,64.84
2017-08-25,14:03:50,0.51,64.84
2017-08-25,14:03:51,0.51,64.84
2017-08-25,14:03:52,0.51,64.84
2017-08-25,14:03:53,0.51,64.84
2017-08-25,14:03:54,0.51,64.84
2017-08-25,14:03:55,0.51,64.84
2017-08-25,14:03:56,0.51,63.22
2017-08-25,14:03:57,0.51,63.22
2017-08-25,14:03:58,0.51,63.22
2017-08-25,14:03:59,0.51,63.22
2017-08-25,14:04:00,0.51,63.22
2017-08-25,14:04:01,0.51,63.22
2017-08-25,14:04:02,0.51,61.60
2017-08-25,14:04:03,0.51,61.60
2017-08-25,14:04:04,0.51,61.60
2017-08-25,14:04:05,0.51,59.98
2017-08-25,14:04:06,0.51,59.98
2017-08-25,14:04:07,0.67,58.36
2017-08-25,14:04:08,0.51,58.36
2017-08-25,14:04:09,0.51,58.36
2017-08-25,14:04:10,0.51,56.74
2017-08-25,14:04:11,0.51,56.74
2017-08-25,14:04:12,0.51,56.74
2017-08-25,14:04:13,0.51,56.74
2017-08-25,14:04:14,0.51,56.74
2017-08-25,14:04:15,0.51,55.12
2017-08-25,14:04:16,0.36,55.12
2017-08-25,14:04:17,0.36,56.74
2017-08-25,14:04:18,0.51,55.12
2017-08-25,14:04:19,0.51,55.12
2017-08-25,14:04:20,0.51,55.12
2017-08-25,14:04:21,0.51,55.12
2017-08-25,14:04:22,0.51,55.12
2017-08-25,14:04:23,0.51,53.49
2017-08-25,14:04:24,0.51,53.49
2017-08-25,14:04:25,0.67,51.87
2017-08-25,14:04:26,0.67,51.87
2017-08-25,14:04:27,0.67,51.87
2017-08-25,14:04:28,0.67,51.87
2017-08-25,14:04:29,0.67,50.25
2017-08-25,14:04:30,0.82,50.25
2017-08-25,14:04:31,0.97,48.63
2017-08-25,14:04:32,0.97,48.63
